"variable name","title","element type","version","definition","short description","datatype","maximum character quantity","input restriction","minimum value","maximum value","permissible values","permissible value descriptions","permissible value output codes","Item Response OID","Element OID","unit of measure","guidelines/instructions","notes","preferred question text","keywords","references","population.all","domain.general (for all diseases)","domain.traumatic brain injury","domain.Parkinson's disease","domain.Friedreich's ataxia","domain.stroke","domain.amyotrophic lateral sclerosis","domain.Huntington's disease","domain.multiple sclerosis","domain.neuromuscular diseases","domain.myasthenia gravis","domain.spinal muscular atrophy","domain.Duchenne muscular dystrophy/Becker muscular dystrophy","domain.congenital muscular dystrophy","domain.spinal cord injury","domain.headache","domain.epilepsy","classification.general (for all diseases)","classification.acute hospitalized","classification.concussion/mild TBI","classification.epidemiology","classification.moderate/severe TBI: rehabilitation","classification.Parkinson's disease","classification.Friedreich's ataxia","classification.stroke","classification.amyotrophic lateral sclerosis","classification.Huntington's disease","classification.multiple sclerosis","classification.neuromuscular diseases","classification.myasthenia gravis","classification.spinal muscular atrophy","classification.Duchenne muscular dystrophy/Becker muscular dystrophy","classification.congenital muscular dystrophy","classification.spinal cord injury","classification.headache","classification.epilepsy","historical notes","Label(s)","see also","submitting organization name","submitting contact name","submitting contact information","effective date","until date","steward organization name","steward contact name","steward contact information","creation date","last change date","administrative status","CAT OID","Form Item OID"
"LasikSEESTB1Typ","Starburst last 7 days (A)","Unique Data Element","1.0","In the last 7 days, have you seen any starbursts?","In the last 7 days, have you seen any starbursts?","Alphanumeric","","Multiple Pre-Defined Values Selected","","","1;2;3;4","Yes, but ONLY when NOT wearing glasses or contact lenses;Yes, but ONLY when wearing glasses or contact lenses;Yes, when wearing AND when not wearing glasses or contact lenses;No, not at all","1;2;3;4","","","","The next few questions are about starbursts. By starbursts, we mean seeing rays of light coming out from lighted objects, such as in the car headlights in the images below. These images may not represent exactly what you see and your symptoms may be more or less severe than what is shown.","A69A","In the last 7 days, have you seen any starbursts?","","LASIK Quality of Life Collaboration Project: PRSTRBST v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","QkhIWBfl7","","SEESTB","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikDALYACTSScl","Eye affect daily activity","Unique Data Element","1.0","During the past seven days, how much did eye problems affect your ability to do your regular daily activities, other than work at a job?","During the past seven days, how much did eye problems affect your ability to do your regular daily activities, other than work at a job?","Alphanumeric","","Single Pre-Defined Value Selected","","","0;1;10;2;3;4;5;6;7;8;9","0 - Eye problem(s) had no effect on my daily activities;1;10 - Eye problem(s) completely prevented me from doing my regular activities;2;3;4;5;6;7;8;9","0;1;10;2;3;4;5;6;7;8;9","","","","By regular activities, we mean the usual activities you do, such as work around the house, shopping, childcare, exercising, studying, etc. Think about times you were limited in the amount or kind of activities you could do and times you accomplished less than you would like. If eye problems affected your activities only a little, choose a low number. Choose a high number if eye problems affected your activities a great deal.","A42","During the past seven days, how much did eye problems affect your ability to do your regular daily activities, other than work at a job? Consider only how much eye problems affected your ability to do your regular daily activities, other than work a job.","","LASIK Quality of Life Collaboration Project Pre Op: PRACTVTY v1.0;LASIK Quality of Life Collaboration Project Post Op: POACTVTY v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","7y2LN9ye7","","DALYACTS","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikDBLSNBCScl","Double vision correction","Unique Data Element","1.0","When you use your best vision correction (glasses or contact lenses) do the double images you see:","When you use your best vision correction (glasses or contact lenses) do the double images you see:","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5;6;7","Go away completely;Go away mostly;Go away a little;Not change;Get a little worse;Get a lot worse;I do not use glasses or contact lenses","1;2;3;4;5;6;7","","","","The next set of questions will reference the following images and their labels. The next few questions are about double images, which some people call ""ghost"" or ""shadow"" images. By double images, we mean seeing a distorted or blurry visual image.","A52","When you use your best vision correction (glasses or contact lenses) do the double images you see:","","LASIK Quality of Life Collaboration Project Pre Op: PRCORDBL v1.0;LASIK Quality of Life Collaboration Project Post Op: POCORDBL v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","XyvH5QfeX","","DBLSNBC","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikINFOTyp","Information about LASIK surgery","Unique Data Element","1.0","Where did you get information about LASIK surgery?","Where did you get information about LASIK surgery?","Alphanumeric","","Multiple Pre-Defined Values Selected","","","1;10;11;12;2;3;4;5;6;7;8;9","Discussions with LASIK surgeon;Discussions with family or friends who have not had LASIK surgery;Discussions with family or friends who had LASIK surgery;Other;Discussions with any other eye care professional (e.g., ophthalmologist or optometrist);Discussions with another physician, not an ophthalmologist;Eye care professional's office pamphlets;Eye care professional's office videos;Internet websites;Newspaper or magazine articles;Television / Radio;Discussion with another patient","1;10;11;12;2;3;4;5;6;7;8;9","","","","Please select all that apply","A85","How do you get information about LASIK surgery?","","LASIK Quality of Life Collaboration Project: PRGCCLLK v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","","","GLCLCLSE","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikVCLARSEEScl","Difficult clarity changes","Unique Data Element","1.0","How much difficulty do you have seeing because of changes in the clarity of your vision during the course of the day?","How much difficulty do you have seeing because of changes in the clarity of your vision during the course of the day?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5","Don't have changes in clarity of my vision;No difficulty at all;A little difficulty;Moderate difficulty;A lot of difficulty","1;2;3;4;5","","","","","A29","How much difficulty do you have seeing because of changes in the clarity of your vision during the course of the day?","","LASIK Quality of Life Collaboration Project Pre Op: PRCLRCHG v1.0;LASIK Quality of Life Collaboration Project Post Op: POCLRCHG v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","m16neKJgQ","","VCLARSEE","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikNOLASIKInd","Should not have LASIK","Unique Data Element","1.0","Have you ever been told by a LASIK surgeon or any other eye care professional that you should not have LASIK surgery performed?","Have you ever been told by a LASIK surgeon or any other eye care professional that you should not have LASIK surgery performed?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2","Yes;No","1;2","","","","","A86","Have you ever been told by a LASIK surgeon or any other eye care professional that you should not have LASIK surgery performed?","","LASIK Quality of Life Collaboration Project: PRNOTLSK v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","Xk28Px8eX","","NOLASIK","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikGLRBWVCScl","Glare correct bothersome","Unique Data Element","1.0","In the last 7 days, how bothersome has the glare been when you are wearing your best vision correction (glasses or contact lenses)?","In the last 7 days, how bothersome has the glare been when you are wearing your best vision correction (glasses or contact lenses)?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5;6","Extremely bothersome;Very bothersome;Somewhat bothersome;A little bothersome;Not at all bothersome;I do not use glasses or contact lenses","1;2;3;4;5;6","","","","The next few questions are about glare. By glare, we mean difficulty seeing well when there are bright lights like headlights or sunlight, such as shown in the images below. These images may not represent exactly what you see and your symptoms may be more or less than what is shown.","A56","In the last 7 days, how bothersome has the glare been when you are wearing your best vision correction (glasses or contact lenses)?","","LASIK Quality of Life Collaboration Project Pre Op: PRGLCRBT v1.0;LASIK Quality of Life Collaboration Project Post Op: POGLCRBT v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","XyLqnQzl7","","GLRB_WVC","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"DataSourceOTH","Data source other text","Common Data Element","1.0","The free-text field related to Data source specifying other text. Source of the data provided on the case report form","The free-text field related to Data source specifying other text. Source of the data provided on the case report form","Alphanumeric","4000","Free-Form Entry","","","","","","","","","Enter other data source text","","Other, specify","","No references available","Adult and Pediatric","Outcomes and End Points.Other Clinical Data","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","","","","NIH/NINDS/BRICS","","","","","NIH/NINDS/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikHLOWOVCScl","Halos with no correction","Unique Data Element","1.0","In the last 7 days, how often have you seen halos when you are NOT wearing any vision correction (glasses or contact lenses)?","In the last 7 days, how often have you seen halos when you are NOT wearing any vision correction (glasses or contact lenses)?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5;6","Never;Rarely;Sometimes;Often;Always;I always use glasses or contact lenses","1;2;3;4;5;6","","","","The next few questions are about halos. By halos, we mean seeing a fuzzy cloud of light around lighted objects, such as the ones shown in the images below. These images may not represent exactly what you see and your symptoms may be more or less severe than what is shown.","A63","In the last 7 days, how often have you seen halos when you are NOT wearing any vision correction (glasses or contact lenses)?","","LASIK Quality of Life Collaboration Project: PRHLNOCR v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","XyNXZVfgQ","","HLO_WOVC","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikCOMPPROBScl","No problem using computer","Unique Data Element","1.0","I had no problem using the computer today.","I had no problem using the computer today.","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5","Definitely true;Mostly true;Unsure;Mostly false;Definitely false","1;2;3;4;5","","","","","B16","I had no problem using the computer today.","","LASIK Quality of Life Collaboration Project: PRUSECMP v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","mJ6bzmLeQ","","COMPPROB","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikTBLSEEInd","Trouble see last 7 days","Unique Data Element","1.0","Have you experienced trouble seeing in the last 7 days?","Have you experienced trouble seeing in the last 7 days?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2","Yes;No","1;2","","","","","A35","Have you experienced trouble seeing in the last 7 days?","","LASIK Quality of Life Collaboration Project Pre Op: PR7DTBSE v1.0;LASIK Quality of Life Collaboration Project Post Op: PO7DTBSE v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","71_nKYJlQ","","TBLSEE","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikEVERDRVInd","Ever driven a car","Unique Data Element","1.0","Have you ever driven a car?","Have you ever driven a car?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2","Yes;No","1;2","","","","","A11","Have you ever driven a car?","","LASIK Quality of Life Collaboration Project Pre Op: PRDRVCAR v1.0;LASIK Quality of Life Collaboration Project Post Op: POCLRCOR v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","X1qHzSRk7","","EVERDRV","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikHLTHOVRScl","Health in general","Unique Data Element","1.0","In general, would you say your health is:","In general, would you say your health is:","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5","Excellent;Very good;Good;Fair;Poor","1;2;3;4;5","","","","","A01","In general, would you say your health is:","","LASIK Quality of Life Collaboration Project Pre Op: PRHEALTH v1.0;LASIK Quality of Life Collaboration Project Post Op: POHEALTH v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","QJ6vRmCyQ","","HLTHOVR","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikNERVOUSScl","Feeling nervous","Unique Data Element","1.0","Over the last 2 weeks, how often have you been bothered by feeling nervous, anxious, or on edge?","Over the last 2 weeks, how often have you been bothered by feeling nervous, anxious, or on edge?","Alphanumeric","","Single Pre-Defined Value Selected","","","0;1;2;3","Not at all;Several days;More than half the days;Nearly every day","0;1;2;3","","","","","A89","Over the last 2 weeks, how often have you been bothered by feeling nervous, anxious, or on edge?","","LASIK Quality of Life Collaboration Project: PRFEELNV v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","XkGBBfIlQ","","NERVOUS","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikDIFCNDRVScl","Difficult drive conditions","Unique Data Element","1.0","Because of your vision, how much difficulty do you have driving in difficult conditions, such as bad weather, during rush hour, on the freeway, or in city traffic?","Because of your vision, how much difficulty do you have driving in difficult conditions, such as bad weather, during rush hour, on the freeway, or in city traffic?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5;6","No difficulty at all;A little difficulty;Moderate difficulty;A lot of difficulty;Never drive in these conditions because of vision;Never drive in these conditions for other reasons","1;2;3;4;5;6","","","","When you answer the question below, think about your vision with the vision correction you normally use, including glasses, contact lenses, a magnifier, or nothing at all.","A16","Because of your vision, how much difficulty do you have driving in difficult conditions, such as bad weather, during rush hour, on the freeway, or in city traffic?","","LASIK Quality of Life Collaboration Project Pre Op: PRDRVCON v1.0;LASIK Quality of Life Collaboration Project Post Op: PODRVCON v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","7171YrCkX","","DIFCNDRV","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikEXPGDTHGScl","More good than bad","Unique Data Element","1.0","Overall, I expect more good things to happen to me than bad.","Overall, I expect more good things to happen to me than bad.","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5","I agree a lot;I agree a little;I neither agree nor disagree;I disagree a little;I disagree a lot","1;2;3;4;5","","","","Please answer the following question about yourself. Try not to let your response to a previous question influence your response to this question. There are no right or wrong answers.","B03","Overall, I expect more good things to happen to me than bad.","","LASIK Quality of Life Collaboration Project: PREXPGD v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","mJKu2GUlm","","EXPGDTHG","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikLOWHMDTYScl","Places with low humidity","Unique Data Element","1.0","Places or areas with low humidity (very dry)?","Places or areas with low humidity (very dry)?","Alphanumeric","","Single Pre-Defined Value Selected","","","0;1;2;3;4","None of the time;Some of the time;Half of the time;Most of the time;All of the time","0;1;2;3;4","","","","During the last 7 days, how often have your eyes felt uncomfortable in:","A83","During the last 7 days, how often have your eyes felt uncomfortable in: Places or areas with low humidity (very dry)?","","LASIK Quality of Life Collaboration Project: PRHUMID v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","mk6W8gIem","","LOWHMDTY","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikNOSPORTInd","No sports due to vision","Unique Data Element","1.0","Are there any recreational or sports activities that you don't do because of your vision or the type of vision correction you have?","Are there any recreational or sports activities that you don't do because of your vision or the type of vision correction you have?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3","Yes, many;Yes, a few;No","1;2;3","","","","","A21","Are there any recreational or sports activities that you don't do because of your vision or the type of vision correction you have?","","LASIK Quality of Life Collaboration Project Pre Op: PRNOSPT v1.0;LASIK Quality of Life Collaboration Project Post Op: PONOSPT v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","Xy_9idJl7","","NOSPORT","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"GUID","GUID","Common Data Element","1.0","Global Unique ID (GUID) which uniquely identifies a subject","Global Unique ID which uniquely identifies a subject","GUID","","Free-Form Entry","","","","","","","","","","","Global Unique ID (GUID) which uniquely identifies the subject:","","Johnson, S.B., Whitney, G., McAuliffe, M., Wang, H., McCreedy, E., Rozenblit, L., and Evans, C.C. (2010). Using Global Unique identifiers to link autism collections. J. Am. Med. Inform. Assoc., in press. Published online July 17, 2010. 10.1136/jamia.2009.002063.","Adult and Pediatric","Protocol Experience.Participant/Subject Identification, Eligibility, and Enrollment","Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics","","","","","","","","","","","","","","Supplemental","Core","Core","Core","Core","Core","","","","","","","","","","","","","","","","","NIH/CIT/BRICS","Olga Vovk","olga.vovk@nih.gov","","","NIH/CIT/BRICS","Olga Vovk","olga.vovk@nih.gov","2016-01-26","2016-01-27","Published",,
"LasikLTPRFCTScl","Drive no glasses contacts","Unique Data Element","1.0","As long as I could see well enough to drive without wearing glasses or contact lenses, I wouldn't mind having vision that was less than perfect.","As long as I could see well enough to drive without wearing glasses or contact lenses, I wouldn't mind having vision that was less than perfect.","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5","Definitely true;Mostly true;Don't know;Mostly false;Definitely false","1;2;3;4;5","","","","When you answer the question below, think about the vision correction you normally use, including glasses, contact lenses, a magnifier, or nothing at all.","A05","As long as I could see well enough to drive without wearing glasses or contact lenses, I wouldn't mind having vision that was less than perfect.","","LASIK Quality of Life Collaboration Project: PRDVNOGC v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","7kLtEN01m","","LTPRFCT","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikPOORVSNScl","Poor vision","Unique Data Element","1.0","Poor vision?","Poor vision?","Alphanumeric","","Single Pre-Defined Value Selected","","","0;1;2;3;4","None of the time;Some of the time;Half of the time;Most of the time;All of the time","0;1;2;3;4","","","","During the last 7 days, how often have you experienced:","A81","During the last 7 days, how often have you experienced: Poor vision?","","LASIK Quality of Life Collaboration Project: PRPOORVS v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","QyGTBeLeX","","POORVSN","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikEDUCATIONTyp","Education level","Unique Data Element","1.0","What is the highest level of education you have completed?","What is the highest level of education you have completed?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5;6","8th grade or less;Some high school, but did not graduate;High school or GED;Some college or 2-year degree;4-year college graduate;More than 4-year college degree","1;2;3;4;5;6","","","","","B19","What is the highest level of education you have completed?","","LASIK Quality of Life Collaboration Project: PREDLVL v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","mknGEX8g7","","EDUCATION","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikOFFSIDEScl","Difficulty seeing side","Unique Data Element","1.0","How much difficulty do you have seeing things off to the side, like cards coming out of driveways or site streets or people coming out of doorways?","How much difficulty do you have seeing things off to the side, like cards coming out of driveways or site streets or people coming out of doorways?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4","No difficulty at all;A little difficulty;Moderate difficulty;A lot of difficulty","1;2;3;4","","","","","A17","How much difficulty do you have seeing things off to the side, like cards coming out of driveways or site streets or people coming out of doorways?","","LASIK Quality of Life Collaboration Project Pre Op: PRSEESID v1.0;LASIK Quality of Life Collaboration Project Post Op: POSEESID v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","Q1dhKrAk7","","OFFSIDE","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikHHINCOMERng","Household income","Unique Data Element","1.0","Which category best describes your household income?","Which category best describes your household income?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5;6","Less than $25,000;$25,000-$49,999;$50,000-$74,999;$75,000-$99,999;$100,000-$149,999;$150,000 or more","1;2;3;4;5;6","","","","","B20","Which category best describes your household income?","","LASIK Quality of Life Collaboration Project: PRINCOME v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","XyupVQLlm","","HHINCOME","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"GeneralNotesTxt","General notes text","Unique Data Element","1.0","General notes","General notes","Alphanumeric","4000","Free-Form Entry","","","","","","","","","Use this field to captue additional information ","","","","","Adult and Pediatric","Assessments and Examinations.Non-Imaging Diagnostics","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","","","","NIH/CIT/BRICS","Olga Vovk","olga.vovk@nih.gov","","","NIH/CIT/BRICS","Olga Vovk","olga.vovk@nih.gov","2016-01-26","2016-01-27","Published",,
"LasikSATVISScl","Satisfied present vision","Unique Data Element","1.0","In general, how satisfied or dissatisfied are you with your present vision?","In general, how satisfied or dissatisfied are you with your present vision?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5;6","Completely satisfied;Very satisfied;Somewhat satisfied;Somewhat dissatisfied;Very dissatisfied;Completely dissatisfied","1;2;3;4;5;6","","","","","A36","In general, how satisfied or dissatisfied are you with your present vision?","","LASIK Quality of Life Collaboration Project: PRSATVIS v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","XJwX9YJl7","","SAT_VIS","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"ContextTypeOTH","Context type other text","Unique Data Element","1.0","The free-text related to Context type specifying other text.","The free-text related to ContextType specifying other text","Alphanumeric","4000","Free-Form Entry","","","","","","","","","This question should follow Context type question in the repeatable group which contains context dependent questions.","","Specify the other context to which the questions were answered.","","No references available","Adult and Pediatric","Protocol Experience.Study Management","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","","","","NIH/NINDS/BRICS","","","","","NIH/NINDS/BRICS","","","2018-06-07","2018-06-11","Published",,
